"petition_number","cert_wrkrs_pet","partic_pet","partic_rate"
64755,68,10,0.147058823529412
64757,42,13,0.30952380952381
64758,103,28,0.271844660194175
64760,52,7,0.134615384615385
64761,37,9,0.243243243243243
64762,28,15,0.535714285714286
64763,34,18,0.529411764705882
64764,94,68,0.723404255319149
64767,62,27,0.435483870967742
64768,30,7,0.233333333333333
64771,185,41,0.221621621621622
64776,11,7,0.636363636363636
64777,67,15,0.223880597014925
64779,87,8,0.0919540229885057
64781,78,47,0.602564102564103
64783,46,28,0.608695652173913
64784,17,69,1
64786,115,34,0.295652173913043
64789,105,29,0.276190476190476
64790,239,85,0.355648535564854
64794,110,69,0.627272727272727
64800,37,6,0.162162162162162
64803,23,8,0.347826086956522
64804,56,15,0.267857142857143
64806,16,3,0.1875
64811,69,16,0.231884057971014
64812,215,73,0.33953488372093
64813,123,15,0.121951219512195
64814,31,13,0.419354838709677
64816,28,10,0.357142857142857
64819,217,112,0.516129032258065
64820,40,12,0.3
64821,42,21,0.5
64824,76,371,1
64826,32,19,0.59375
64829,1361,726,0.533431300514328
64833,350,211,0.602857142857143
64834,80,79,0.9875
64835,72,23,0.319444444444444
64836,28,14,0.5
64837,40,3,0.075
64842,95,23,0.242105263157895
64844,104,3,0.0288461538461538
64845,14,3,0.214285714285714
64848,8,4,0.5
64849,24,6,0.25
64853,302,83,0.274834437086093
64854,25,4,0.16
64856,39,85,1
64857,73,4,0.0547945205479452
64861,22,17,0.772727272727273
64862,40,8,0.2
64863,156,52,0.333333333333333
64865,107,9,0.0841121495327103
64866,52,6,0.115384615384615
64867,37,10,0.27027027027027
64870,36,16,0.444444444444444
64873,220,34,0.154545454545455
64875,49,24,0.489795918367347
64876,158,150,0.949367088607595
64877,76,94,1
64879,134,46,0.343283582089552
64882,62,27,0.435483870967742
64883,739,322,0.435723951285521
64884,201,97,0.482587064676617
64887,13,6,0.461538461538462
64888,26,61,1
64889,69,176,1
64892,22,112,1
64895,60,55,0.916666666666667
64897,14,70,1
64898,39,4,0.102564102564103
64899,37,9,0.243243243243243
64901,136,38,0.279411764705882
64902,211,168,0.796208530805687
64904,316,42,0.132911392405063
