TAWSuffix,City,State,StreetAddress,Zip,AUTO_UNIQUE_ID_2019-03-19_njbell89_field_site_unm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
74128,Mount Laurel,NJ,,,316,USCGeocoder,62.4611,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,1666230.621,ArealInterpolationGeometricCentroid,City,20.90909091,FeatureClassBased,FlipACoin,,CityCentroid,,,1,40.04386068,-74.05088978,Relaxed;Soundex,TwoThousandTen,43380,5602,20764,43380,0,35620,1020,1,7120,29,34,9,Missing
74173,Bala Cynwyd,PA,,,318,USCGeocoder,78.1452,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,113018353,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,40.08030198,-79.51235258,Relaxed;Soundex,TwoThousandTen,,240,,10152,0,38300,3026,3,2604.02,51,42,9,Missing
74253G,Bedford,NH,,,319,USCGeocoder,125.0033,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,85775022.94,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,42.94075031,-71.53042723,Relaxed;Soundex,TwoThousandTen,,1122,,4500,0,31700,2000,2,29.03,11,33,9,Missing
74300,Clackamas,OR,,,320,USCGeocoder,0,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,2117182.102,ArealInterpolationGeometricCentroid,City,14.44444444,FeatureClassBased,FlipACoin,,CityCentroid,,,1,42.57641718,-121.8677525,Relaxed;Soundex,TwoThousandTen,13050,,,90527,1,28900,3113,3,9702,35,41,6,ResidenceCityOrZIPWithOneCensusTract
74393,Rocky Hill,CT,,,323,USCGeocoder,78.1501,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,35844004.65,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,41.65719165,-72.66318988,Relaxed;Soundex,TwoThousandTen,,1122,,65370,0,25540,5011,5,5242,3,9,9,Missing
74434,Commerce Township,MI,,,324,USCGeocoder,78.144,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,77450376.53,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,42.57632867,-83.49578236,Relaxed;Soundex,TwoThousandTen,,870,47644,17640,0,19820,2016,2,1343,125,26,9,Missing
74437,Wilton,CT,,,325,USCGeocoder,78.193,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,714247.4949,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,41.18814368,-73.42992362,Relaxed;Soundex,TwoThousandTen,86380,5602,,86370,0,14860,2007,2,452,1,9,9,Missing
74465,Northridge,CA,,,326,USCGeocoder,0,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,4045664.941,ArealInterpolationGeometricCentroid,City,10,FeatureClassBased,FlipACoin,,CityCentroid,,,1,37.96455609,-122.3727498,Relaxed;Soundex,TwoThousandTen,52162,7362,36084,93620,0,41860,3019,3,3650.02,13,6,9,Missing
74472,Research Triangle Park,NC,,,327,USCGeocoder,15.7571,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,94222352.49,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,36.07153823,-79.58023557,Relaxed;Soundex,TwoThousandTen,73760,3120,,92716,0,24660,3047,3,152,81,37,9,Missing
74474,Berkeley Heights,NJ,,,328,USCGeocoder,0,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,4296527.956,ArealInterpolationGeometricCentroid,City,20.66666667,FeatureClassBased,FlipACoin,,CityCentroid,,,1,39.90124333,-75.0008287,Relaxed;Soundex,TwoThousandTen,2880,6162,15804,12280,0,37980,1003,1,6036.02,7,34,9,Missing
