Combo.FIPS,CBP.2.Digit.NAICS,employees
2100,0,590
2100,11,2
2100,21,19
2100,22,19
2100,23,43
2100,31,19
2100,42,19
2100,44,125
2100,48,99
2100,51,19
2100,52,19
2100,53,2
2100,54,19
2100,55,19
2100,56,13
2100,61,19
2100,62,160
2100,71,29
2100,72,88
2100,81,99
2100,99,19
2110,0,10800
2110,11,99
2110,21,479
2110,22,99
2110,23,662
2110,31,208
2110,42,228
2110,44,1875
2110,48,696
2110,51,246
2110,52,350
2110,53,223
2110,54,510
2110,55,249
2110,56,258
2110,61,499
2110,62,2514
2110,71,337
2110,72,1133
2110,81,592
2122,0,13155
2122,11,76
2122,21,450
2122,22,226
2122,23,920
2122,31,575
2122,42,445
2122,44,2339
2122,48,660
2122,51,244
2122,52,326
2122,53,186
2122,54,520
2122,55,29
2122,56,286
2122,61,138
2122,62,3114
2122,71,210
2122,72,1626
2122,81,777
2122,99,19
2130,0,4686
2130,11,130
2130,21,19
2130,23,231
2130,31,354
2130,42,101
2130,44,1001
2130,48,534
2130,51,103
2130,52,241
2130,53,77
2130,54,120
2130,55,99
2130,56,173
2130,61,99
2130,62,999
2130,71,97
2130,72,566
2130,81,185
2150,0,4177
2150,11,99
2150,22,99
2150,23,184
2150,31,1376
2150,42,249
2150,44,475
2150,48,240
2150,51,99
2150,52,99
2150,53,95
2150,54,70
2150,55,19
2150,56,249
2150,61,99
2150,62,999
2150,71,67
2150,72,406
2150,81,210
2150,99,19
2164,0,138
2164,11,19
2164,22,19
2164,23,19
2164,31,19
2164,42,19
2164,44,19
2164,48,99
2164,52,19
2164,53,19
2164,54,99
2164,56,19
2164,71,19
2164,72,19
2164,81,19
2170,0,14869
2170,11,99
2170,21,29
2170,22,249
2170,23,1612
2170,31,157
2170,42,331
2170,44,3074
2170,48,539
2170,51,586
2170,52,476
2170,53,243
2170,54,758
2170,55,499
2170,56,545
2170,61,192
2170,62,3086
2170,71,311
2170,72,1665
2170,81,765
2170,99,19
2180,0,2160
2180,21,99
2180,22,19
2180,23,27
2180,31,99
2180,42,93
2180,44,311
2180,48,137
2180,51,13
2180,52,99
2180,53,73
2180,54,10
2180,56,42
2180,61,99
2180,62,1008
2180,71,65
2180,72,163
2180,81,60
2185,0,2790
2185,21,249
2185,22,99
2185,23,99
2185,31,99
2185,42,316
2185,44,499
2185,48,271
2185,51,99
2185,52,19
2185,53,99
