petition_number,cert_wrkrs_pet,partic_pet
91851,3,34
91852,38,19
91853,38,4
91854,442,189
91858,63,15
91859,200,26
91864,84,3
91865,122,19
91866,102,3
91867,21,5
91868,6,8
91869,205,40
91871,30,3
91873,157,4
91879,626,11
91880,50,7
91881,47,5
91886,160,61
91887,67,23
91891,31,3
91892,162,9
91894,284,77
91911,96,54
91914,602,37
91920,427,36
91921,254,14
91923,3,3
91927,561,6
91928,64,13
91929,80,35
91933,55,20
91935,72,7
91936,47,21
91939,239,78
91943,147,3
91945,67,22
91949,215,12
91950,209,7
91952,54,5
91954,23,12
91959,7,3
91960,233,29
91961,103,8
91963,7,3
91964,216,34
91965,25,37
91966,196,18
91971,19,3
91973,6,3
91974,13,3
91975,45,15
91978,225,75
91979,72,12
91981,5,3
91985,366,23
91986,253,19
91987,18,11
91999,93,22
92001,154,6
92002,22,4
92004,25,3
92005,238,5
92007,60,10
92009,47,5
92012,7,4
92015,49,6
92020,16,8
92021,77,15
92033,115,41
92042,88,3
92043,56,3
92044,82,6
92049,35,7
92051,151,40
92052,261,7
92057,172,46
92065,59,8
92071,219,22
92072,144,15
92075,203,48
92083,375,12
92090,38,11
92091,160,4
92094,80,21
92097,182,48
92099,3,4
92108,97,39
92109,32,4
92110,32,4
92111,51,3
92113,110,19
92118,121,35
92130,324,78
92132,1390,27
92149,70,8
92179,65,7
92185,1782,186
92244,114,23
