petition_number,cert_wrkrs_pet,partic_pet
70125,215,25
70126,222,60
70127,268,37
70129,140,57
70131,41,19
70132,242,10
70133,111,41
70135,9,3
70136,51,47
70142,2009,191
70143,470,80
70144,37,21
70146,16,4
70147,90,25
70148,60,45
70150,63,34
70151,20,27
70152,865,224
70153,34,60
70154,112,3
70158,214,43
70159,78,24
70160,14,7
70161,65,5
70162,233,8
70163,65,8
70164,663,8
70165,61,18
70166,750,128
70167,23,5
70168,75,33
70169,264,11
70171,71,13
70172,23,12
70174,38,13
70176,33,18
70180,357,28
70183,150,197
70184,179,40
70186,36,20
70187,113,7
70188,96,11
70189,280,101
70190,25,7
70191,80,4
70192,34,3
70193,110,5
70194,544,6
70195,15,5
70196,139,30
70197,60,11
70199,340,17
70203,36,11
70204,199,16
70206,312,4
70207,208,37
70208,40,16
70209,253,123
70210,150,63
70211,48,8
70213,11,6
70217,238,32
70220,65,62
70221,51,4
70222,104,58
70224,4,6
70225,32,22
70226,59,7
70228,204,39
70229,42,4
70232,375,104
70233,33,7
70234,101,18
70235,368,158
70238,40,26
70239,112,65
70242,384,105
70243,139,57
70244,70,10
70245,100,5
70247,21,11
70248,244,15
70250,5,11
70252,89,33
70255,318,5
70256,61,25
70258,79,9
70260,728,125
70261,28,4
70263,143,164
70264,93,31
70265,25,29
70266,73,170
70272,600,156
70273,17,5
70274,77,23
70275,15,13
70276,336,31
70277,56,17
70278,152,50
70280,86,49
70283,102,18
70284,164,3
70285,75,84
70288,89,3
70289,45,28
70290,53,35
70291,369,78
70292,678,25
70293,12,3
70295,7,4
70297,67,58
70298,110,11
70299,198,22
70300,115,32
70301,158,53
70304,423,76
70306,370,227
70307,174,27
70308,234,46
70310,132,7
70311,50,9
70312,25,9
70313,161,73
70315,59,29
70316,215,123
70317,155,16
70318,9,3
70319,24,21
70320,229,49
70324,1854,96
70325,250,72
70327,213,85
70329,250,10
70335,47,4
70338,26,11
70339,219,53
70340,12,3
70341,114,65
70342,36,15
70345,25,4
70347,14,6
70348,29,12
70351,497,152
70357,59,25
70360,142,51
70361,76,10
70362,32,3
70363,48,21
70370,202,46
70372,200,78
70373,76,37
70374,95,23
70376,32,24
70377,97,14
70378,18,4
70379,72,8
70380,64,25
70381,54,12
70382,6,3
70383,91,16
70384,60,6
70385,29,20
70386,87,7
70388,75,37
70392,1125,13
70393,7,3
70397,40,9
70398,434,271
70401,30,12
70405,247,105
70406,79,19
70407,290,140
70409,176,92
70410,399,165
70412,147,66
70414,489,258
70417,53,12
70419,254,25
70420,44,18
70423,40,7
70425,63,7
70426,79,6
70427,43,37
70428,25,8
70429,12,6
70431,74,6
70432,10,4
70433,97,44
70434,312,48
70435,22,14
70436,251,87
70437,55,21
70438,359,30
70440,66,36
70443,4,8
70445,5,4
70446,97,21
70447,80,19
70448,504,76
70449,121,10
70450,130,56
70451,35,56
70452,101,55
70453,234,54
70455,85,20
70457,222,29
70459,418,64
70460,967,438
70462,98,24
70463,598,108
70464,18,41
70465,23,7
70467,28,18
